num_rolls,num_experiments,mean,variance
16,100,55.9,55.39000000000001
16,500,55.578,50.963916
16,1000,55.792,47.320736000000004
16,5000,55.7666,47.944924439999994
16,10000,56.1914,46.00956604
16,50000,56.0221,46.68777159
16,100000,55.9911,46.27062079
17,100,59.53,44.5091
17,500,59.68,52.4576
17,1000,59.533,49.530911
17,5000,59.5216,48.91313344
17,10000,59.5211,49.92355479
17,50000,59.4821,49.32051959000001
17,100000,59.48937,49.4003270031
18,100,61.92,58.2536
18,500,62.242,48.839436
18,1000,63.075,55.683375
18,5000,63.0186,53.53185403999999
18,10000,62.9204,50.69146384
18,50000,62.95864,52.17628935040001
18,100000,62.96059,52.3719168519
19,100,66.31,58.973899999999986
19,500,66.286,55.536204000000005
19,1000,66.53,54.711099999999995
19,5000,66.5528,56.84121216
19,10000,66.465,54.878775
19,50000,66.53432,55.3836621376
19,100000,66.48871,55.6604125359
20,100,69.35,63.9275
20,500,69.838,57.111756
20,1000,70.014,59.535804
20,5000,70.0158,56.57475036
20,10000,69.9535,58.833737750000004
20,50000,69.99866,57.9764582044
20,100000,70.01733,58.2754496711
21,100,73.09,88.76190000000001
21,500,73.438,61.986156
21,1000,73.509,63.299919
21,5000,73.5668,61.15833776
21,10000,73.5698,62.06512796
21,50000,73.50662,61.674596175599994
21,100000,73.51224,60.8464301824
22,100,76.47,58.8091
22,500,77.038,65.91655600000001
22,1000,76.464,66.632704
22,5000,77.0618,61.281980759999996
22,10000,76.7739,64.13137879
22,50000,77.00374,63.55916601240001
22,100000,76.99094,63.7037579164
23,100,82.14,66.5004
23,500,80.814,64.623404
23,1000,80.403,63.32659100000001
23,5000,80.5024,66.07159424000001
23,10000,80.4088,66.67168256
23,50000,80.48396,66.49654271840001
23,100000,80.53864,66.96074695040001
24,100,84.34,81.2244
24,500,83.876,70.276624
24,1000,84.272,70.38801600000001
24,5000,84.0152,71.36576896000001
24,10000,84.1017,71.48355711
24,50000,83.9935,70.23849775000001
24,100000,83.97697,69.91201961910001
25,100,87.06,58.316400000000016
25,500,86.988,74.599856
25,1000,87.528,79.353216
25,5000,87.4444,73.64010864000001
25,10000,87.5349,73.46538199
25,50000,87.50848,72.1058480896
25,100000,87.47348,72.9967366896
26,100,91.56,99.1464
26,500,91.074,76.932524
26,1000,91.234,69.841244
26,5000,90.9376,73.86370624
26,10000,91.1354,77.55806684
26,50000,90.98948,75.5403693296
26,100000,90.99318,76.0447734876
27,100,94.45,89.0675
27,500,94.196,76.881584
27,1000,94.895,72.857975
27,5000,94.473,78.67287100000001
27,10000,94.5952,78.63013696000002
27,50000,94.45258,78.87547134360001
27,100000,94.4849,78.77493199
28,100,97.55,95.22750000000002
28,500,97.85,77.5355
28,1000,98.149,82.966799
